"computer","user"
"L1CDHFH2","AF70321"
"L50JKSC2","aa85958"
"L9RD6GH2","AD27841"
"VDAASW707777","AF24317"
"LHKC8VN2","AC85646"
"DMXL430161M ","AC89050"
"D34L4CZ1","ad98258"
"LGV32QN2","LGV32QN2"
"LG75RG12","2R3G6BVX"
"LCZCP2H2","ac57723"
"LG0B7QH2","2DA3YMWN"
"L3ZPSP72","lsj1400"
"L3NLR2H2","robinhl"
"LBH790G2","Warrelb"
"L5XW1GH2","arw6562"
"L8CQ0N72","ab22035"
"L1Z1XQQ2","AD65813"
"L1R5Y3M2","AF71452"
"LJZKWJM2","AC86776"
"LJXXKH72","AD58502"
"VDAASW707777","17GPHTWV"
"D58BVFK2","AC91366"
"ab30508","ab30508"
"DG6FX0M2","ac91344"
"AF32700","AF32700"
"LHVC76H2","AC90816"
"L67FNGH2","AF48818"
"D37K3CZ1","ad07066"
"LFD8GFH2","AD46801"
"`L8JSQ1G2","AD51033"
"D29V0KH2","BushPh"
"L35YTTP2","AF87573"
"LJ8V86H2","AD33957"
"L8KRFLH2","ad54302"
