"user","computer"
"AD27841","L9RD6GH2"
"AF24317","VDAASW707777"
"AC89050","DMXL430161M "
"AF53248","L9CJ26H2"
"AC85612","L1MXCQQ2"
"ad98258","D34L4CZ1"
"LGV32QN2","LGV32QN2"
"ac57723","LCZCP2H2"
"2DA3YMWN","LG0B7QH2"
"AC90822","LCNS06H2"
"ac88849","L5X2MPF2"
"lsj1400","L3ZPSP72"
"robinhl","L3NLR2H2"
"AF83789","LB9MMLH2"
"arw6562","L5XW1GH2"
"ab22035","L8CQ0N72"
"AC85190","LGCK7GH2"
"AF83789","LB9MMLH2"
"AD14390","DCG0DCZ1"
"AD14390","DCG0DCZ1"
"ab22035","L8CQ0N72"
"AD58502","LJXXKH72"
"AD27841","L9RD6GH2"
"17GPHTWV","VDAASW707777"
"arw6562","L5XW1GH2"
"ad98258","D34L4CZ1"
"ac57723","LCZCP2H2"
"AC90822","LCNS06H2"
"lsj1400","L3ZPSP72"
"AC85612","L1MXCQQ2"
"AF53248","L9CJ26H2"
"ac88849","L5X2MPF2"
